instance.yaml
kiva v0.2.0-0-g98c829f
Copyright (C) 2012-2014 Big Ladder Software
Web: www.bigladdersoftware.com

Starting Program: 2014-Jun-24 21:25:39.217473
Creating Domain...
Initializing Temperatures...
2096-Dec-30 23:00:00
Beginning Simulation...
2097-Oct-08 05:00:00 (76.8%)
2097-Oct-08 16:00:00 (77%)
2097-Oct-09 03:00:00 (77.1%)
2097-Oct-09 14:00:00 (77.2%)
2097-Oct-10 01:00:00 (77.3%)
2097-Oct-10 12:00:00 (77.5%)
2097-Oct-10 23:00:00 (77.6%)
2097-Oct-11 10:00:00 (77.7%)
2097-Oct-11 21:00:00 (77.8%)
2097-Oct-12 08:00:00 (78%)
2097-Oct-12 19:00:00 (78.1%)
2097-Oct-13 06:00:00 (78.2%)
2097-Oct-13 17:00:00 (78.3%)
2097-Oct-14 04:00:00 (78.5%)
2097-Oct-14 15:00:00 (78.6%)
2097-Oct-15 02:00:00 (78.7%)
2097-Oct-15 13:00:00 (78.8%)
2097-Oct-16 00:00:00 (79%)
2097-Oct-16 11:00:00 (79.1%)
2097-Oct-16 22:00:00 (79.2%)
2097-Oct-17 09:00:00 (79.3%)
2097-Oct-17 20:00:00 (79.5%)
2097-Oct-18 07:00:00 (79.6%)
2097-Oct-18 18:00:00 (79.7%)
2097-Oct-19 05:00:00 (79.8%)
2097-Oct-19 16:00:00 (80%)
2097-Oct-20 03:00:00 (80.1%)
2097-Oct-20 14:00:00 (80.2%)
2097-Oct-21 01:00:00 (80.3%)
2097-Oct-21 11:00:00 (80.5%)
2097-Oct-21 23:00:00 (80.6%)
2097-Oct-22 09:00:00 (80.7%)
2097-Oct-22 20:00:00 (80.8%)
2097-Oct-23 07:00:00 (81%)
2097-Oct-23 18:00:00 (81.1%)
2097-Oct-24 05:00:00 (81.2%)
2097-Oct-24 16:00:00 (81.3%)
2097-Oct-25 03:00:00 (81.5%)
2097-Oct-25 14:00:00 (81.6%)
2097-Oct-26 01:00:00 (81.7%)
2097-Oct-26 12:00:00 (81.8%)
2097-Oct-26 23:00:00 (82%)
2097-Oct-27 10:00:00 (82.1%)
2097-Oct-27 21:00:00 (82.2%)
2097-Oct-28 08:00:00 (82.3%)
2097-Oct-28 19:00:00 (82.5%)
2097-Oct-29 06:00:00 (82.6%)
2097-Oct-29 17:00:00 (82.7%)
2097-Oct-30 04:00:00 (82.8%)
2097-Oct-30 15:00:00 (83%)
2097-Oct-31 02:00:00 (83.1%)
2097-Oct-31 13:00:00 (83.2%)
2097-Nov-01 00:00:00 (83.3%)
2097-Nov-01 11:00:00 (83.5%)
2097-Nov-01 22:00:00 (83.6%)
2097-Nov-02 09:00:00 (83.7%)
2097-Nov-02 20:00:00 (83.8%)
2097-Nov-03 07:00:00 (84%)
2097-Nov-03 18:00:00 (84.1%)
2097-Nov-04 05:00:00 (84.2%)
2097-Nov-04 16:00:00 (84.3%)
2097-Nov-05 03:00:00 (84.5%)
2097-Nov-05 14:00:00 (84.6%)
2097-Nov-06 01:00:00 (84.7%)
2097-Nov-06 12:00:00 (84.8%)
2097-Nov-06 23:00:00 (85%)
2097-Nov-07 10:00:00 (85.1%)
2097-Nov-07 21:00:00 (85.2%)
2097-Nov-08 08:00:00 (85.3%)
2097-Nov-08 19:00:00 (85.5%)
2097-Nov-09 06:00:00 (85.6%)
2097-Nov-09 17:00:00 (85.7%)
2097-Nov-10 04:00:00 (85.8%)
2097-Nov-10 15:00:00 (86%)
2097-Nov-11 02:00:00 (86.1%)
2097-Nov-11 13:00:00 (86.2%)
2097-Nov-12 00:00:00 (86.3%)
2097-Nov-12 11:00:00 (86.5%)
2097-Nov-12 22:00:00 (86.6%)
2097-Nov-13 09:00:00 (86.7%)
2097-Nov-13 20:00:00 (86.8%)
2097-Nov-14 07:00:00 (87%)
2097-Nov-14 18:00:00 (87.1%)
2097-Nov-15 05:00:00 (87.2%)
2097-Nov-15 16:00:00 (87.3%)
2097-Nov-16 03:00:00 (87.5%)
2097-Nov-16 14:00:00 (87.6%)
2097-Nov-17 01:00:00 (87.7%)
2097-Nov-17 12:00:00 (87.8%)
2097-Nov-17 23:00:00 (88%)
2097-Nov-18 10:00:00 (88.1%)
2097-Nov-18 21:00:00 (88.2%)
2097-Nov-19 08:00:00 (88.3%)
2097-Nov-19 19:00:00 (88.5%)
2097-Nov-20 06:00:00 (88.6%)
2097-Nov-20 17:00:00 (88.7%)
2097-Nov-21 04:00:00 (88.8%)
2097-Nov-21 15:00:00 (89%)
2097-Nov-22 02:00:00 (89.1%)
2097-Nov-22 13:00:00 (89.2%)
2097-Nov-23 00:00:00 (89.3%)
2097-Nov-23 11:00:00 (89.5%)
2097-Nov-23 22:00:00 (89.6%)
2097-Nov-24 09:00:00 (89.7%)
2097-Nov-24 20:00:00 (89.8%)
2097-Nov-25 07:00:00 (90%)
2097-Nov-25 18:00:00 (90.1%)
2097-Nov-26 05:00:00 (90.2%)
2097-Nov-26 16:00:00 (90.3%)
2097-Nov-27 03:00:00 (90.5%)
2097-Nov-27 14:00:00 (90.6%)
2097-Nov-28 01:00:00 (90.7%)
2097-Nov-28 12:00:00 (90.8%)
2097-Nov-28 23:00:00 (91%)
2097-Nov-29 10:00:00 (91.1%)
2097-Nov-29 21:00:00 (91.2%)
2097-Nov-30 08:00:00 (91.3%)
2097-Nov-30 19:00:00 (91.5%)
2097-Dec-01 06:00:00 (91.6%)
2097-Dec-01 17:00:00 (91.7%)
2097-Dec-02 04:00:00 (91.8%)
2097-Dec-02 15:00:00 (92%)
2097-Dec-03 02:00:00 (92.1%)
2097-Dec-03 13:00:00 (92.2%)
2097-Dec-04 00:00:00 (92.3%)
2097-Dec-04 11:00:00 (92.5%)
2097-Dec-04 22:00:00 (92.6%)
2097-Dec-05 09:00:00 (92.7%)
2097-Dec-05 20:00:00 (92.9%)
2097-Dec-06 07:00:00 (93%)
2097-Dec-06 18:00:00 (93.1%)
2097-Dec-07 05:00:00 (93.2%)
2097-Dec-07 16:00:00 (93.4%)
2097-Dec-08 03:00:00 (93.5%)
2097-Dec-08 14:00:00 (93.6%)
2097-Dec-09 01:00:00 (93.7%)
2097-Dec-09 12:00:00 (93.9%)
2097-Dec-09 23:00:00 (94%)
2097-Dec-10 11:00:00 (94.1%)
2097-Dec-10 22:00:00 (94.2%)
2097-Dec-11 09:00:00 (94.4%)
2097-Dec-11 20:00:00 (94.5%)
2097-Dec-12 07:00:00 (94.6%)
2097-Dec-12 18:00:00 (94.7%)
2097-Dec-13 05:00:00 (94.9%)
2097-Dec-13 16:00:00 (95%)
2097-Dec-14 03:00:00 (95.1%)
2097-Dec-14 14:00:00 (95.2%)
2097-Dec-15 01:00:00 (95.4%)
2097-Dec-15 12:00:00 (95.5%)
2097-Dec-15 23:00:00 (95.6%)
2097-Dec-16 10:00:00 (95.7%)
2097-Dec-16 21:00:00 (95.9%)
2097-Dec-17 08:00:00 (96%)
2097-Dec-17 19:00:00 (96.1%)
2097-Dec-18 06:00:00 (96.2%)
2097-Dec-18 17:00:00 (96.4%)
2097-Dec-19 04:00:00 (96.5%)
2097-Dec-19 15:00:00 (96.6%)
2097-Dec-20 02:00:00 (96.7%)
2097-Dec-20 13:00:00 (96.9%)
2097-Dec-21 01:00:00 (97%)
2097-Dec-21 12:00:00 (97.1%)
2097-Dec-21 23:00:00 (97.3%)
2097-Dec-22 10:00:00 (97.4%)
2097-Dec-22 21:00:00 (97.5%)
2097-Dec-23 08:00:00 (97.6%)
2097-Dec-23 19:00:00 (97.8%)
2097-Dec-24 06:00:00 (97.9%)
2097-Dec-24 17:00:00 (98%)
2097-Dec-25 04:00:00 (98.1%)
2097-Dec-25 15:00:00 (98.3%)
2097-Dec-26 02:00:00 (98.4%)
2097-Dec-26 13:00:00 (98.5%)
2097-Dec-27 00:00:00 (98.6%)
2097-Dec-27 11:00:00 (98.8%)
2097-Dec-27 22:00:00 (98.9%)
2097-Dec-28 09:00:00 (99%)
2097-Dec-28 20:00:00 (99.1%)
2097-Dec-29 07:00:00 (99.3%)
2097-Dec-29 18:00:00 (99.4%)
2097-Dec-30 05:00:00 (99.5%)
2097-Dec-30 16:00:00 (99.6%)
2097-Dec-31 03:00:00 (99.8%)
2097-Dec-31 14:00:00 (99.9%)
2097-Dec-31 23:00:00 (100%)
Finished Program: 2014-Jun-24 21:39:02.876445
Elapsed Time: 00:13:23.658972

