instance.yaml
kiva v0.2.0-0-g98c829f
Copyright (C) 2012-2014 Big Ladder Software
Web: www.bigladdersoftware.com

Starting Program: 2014-Jun-24 21:25:39.217473
Creating Domain...
Initializing Temperatures...
2096-Dec-30 23:00:00
Beginning Simulation...
2097-Feb-19 20:00:00 (13.9%)
2097-Feb-20 07:00:00 (14%)
2097-Feb-20 18:00:00 (14.1%)
2097-Feb-21 05:00:00 (14.3%)
2097-Feb-21 16:00:00 (14.4%)
2097-Feb-22 03:00:00 (14.5%)
2097-Feb-22 14:00:00 (14.6%)
2097-Feb-23 01:00:00 (14.8%)
2097-Feb-23 12:00:00 (14.9%)
2097-Feb-23 23:00:00 (15%)
2097-Feb-24 10:00:00 (15.1%)
2097-Feb-24 21:00:00 (15.3%)
2097-Feb-25 08:00:00 (15.4%)
2097-Feb-25 19:00:00 (15.5%)
2097-Feb-26 06:00:00 (15.6%)
2097-Feb-26 17:00:00 (15.8%)
2097-Feb-27 04:00:00 (15.9%)
2097-Feb-27 15:00:00 (16%)
2097-Feb-28 02:00:00 (16.1%)
2097-Feb-28 13:00:00 (16.3%)
2097-Mar-01 00:00:00 (16.4%)
2097-Mar-01 11:00:00 (16.5%)
2097-Mar-01 22:00:00 (16.6%)
2097-Mar-02 09:00:00 (16.8%)
2097-Mar-02 20:00:00 (16.9%)
2097-Mar-03 07:00:00 (17%)
2097-Mar-03 19:00:00 (17.2%)
2097-Mar-04 06:00:00 (17.3%)
2097-Mar-04 17:00:00 (17.4%)
2097-Mar-05 04:00:00 (17.5%)
2097-Mar-05 15:00:00 (17.7%)
2097-Mar-06 01:00:00 (17.8%)
2097-Mar-06 13:00:00 (17.9%)
2097-Mar-07 00:00:00 (18%)
2097-Mar-07 11:00:00 (18.2%)
2097-Mar-07 22:00:00 (18.3%)
2097-Mar-08 09:00:00 (18.4%)
2097-Mar-08 19:00:00 (18.5%)
2097-Mar-09 06:00:00 (18.6%)
2097-Mar-09 17:00:00 (18.8%)
2097-Mar-10 04:00:00 (18.9%)
2097-Mar-10 15:00:00 (19%)
2097-Mar-11 02:00:00 (19.1%)
2097-Mar-11 13:00:00 (19.3%)
2097-Mar-12 00:00:00 (19.4%)
2097-Mar-12 11:00:00 (19.5%)
2097-Mar-12 22:00:00 (19.6%)
2097-Mar-13 09:00:00 (19.8%)
2097-Mar-13 20:00:00 (19.9%)
2097-Mar-14 07:00:00 (20%)
2097-Mar-14 18:00:00 (20.2%)
2097-Mar-15 05:00:00 (20.3%)
2097-Mar-15 16:00:00 (20.4%)
2097-Mar-16 03:00:00 (20.5%)
2097-Mar-16 14:00:00 (20.7%)
2097-Mar-17 01:00:00 (20.8%)
2097-Mar-17 12:00:00 (20.9%)
2097-Mar-17 23:00:00 (21%)
2097-Mar-18 10:00:00 (21.2%)
2097-Mar-18 21:00:00 (21.3%)
2097-Mar-19 08:00:00 (21.4%)
2097-Mar-19 19:00:00 (21.5%)
2097-Mar-20 06:00:00 (21.7%)
2097-Mar-20 17:00:00 (21.8%)
2097-Mar-21 04:00:00 (21.9%)
2097-Mar-21 15:00:00 (22%)
2097-Mar-22 02:00:00 (22.2%)
2097-Mar-22 13:00:00 (22.3%)
2097-Mar-23 00:00:00 (22.4%)
2097-Mar-23 11:00:00 (22.5%)
2097-Mar-23 22:00:00 (22.7%)
2097-Mar-24 09:00:00 (22.8%)
2097-Mar-24 20:00:00 (22.9%)
2097-Mar-25 07:00:00 (23%)
2097-Mar-25 18:00:00 (23.2%)
2097-Mar-26 05:00:00 (23.3%)
2097-Mar-26 16:00:00 (23.4%)
2097-Mar-27 03:00:00 (23.5%)
2097-Mar-27 14:00:00 (23.7%)
2097-Mar-28 01:00:00 (23.8%)
2097-Mar-28 12:00:00 (23.9%)
2097-Mar-28 23:00:00 (24%)
2097-Mar-29 10:00:00 (24.2%)
2097-Mar-29 21:00:00 (24.3%)
2097-Mar-30 08:00:00 (24.4%)
