instance.yaml
kiva v0.2.0-0-g98c829f
Copyright (C) 2012-2014 Big Ladder Software
Web: www.bigladdersoftware.com

Starting Program: 2014-Jun-24 18:02:31.874649
Creating Domain...
Initializing Temperatures...
2096-Dec-30 23:00:00
Beginning Simulation...
2096-Dec-31 03:00:00 (0%)
2096-Dec-31 16:00:00 (0.2%)
2097-Jan-01 04:00:00 (0.3%)
2097-Jan-01 16:00:00 (0.5%)
2097-Jan-02 03:00:00 (0.6%)
2097-Jan-02 14:00:00 (0.7%)
2097-Jan-03 01:00:00 (0.8%)
2097-Jan-03 12:00:00 (1%)
2097-Jan-03 23:00:00 (1.1%)
2097-Jan-04 10:00:00 (1.2%)
2097-Jan-04 21:00:00 (1.3%)
2097-Jan-05 08:00:00 (1.5%)
2097-Jan-05 19:00:00 (1.6%)
2097-Jan-06 06:00:00 (1.7%)
2097-Jan-06 17:00:00 (1.8%)
2097-Jan-07 04:00:00 (2%)
2097-Jan-07 15:00:00 (2.1%)
2097-Jan-08 02:00:00 (2.2%)
2097-Jan-08 13:00:00 (2.3%)
2097-Jan-09 00:00:00 (2.5%)
2097-Jan-09 11:00:00 (2.6%)
2097-Jan-09 22:00:00 (2.7%)
2097-Jan-10 10:00:00 (2.8%)
2097-Jan-10 21:00:00 (3%)
2097-Jan-11 08:00:00 (3.1%)
2097-Jan-11 19:00:00 (3.2%)
2097-Jan-12 06:00:00 (3.3%)
2097-Jan-12 17:00:00 (3.5%)
2097-Jan-13 04:00:00 (3.6%)
2097-Jan-13 15:00:00 (3.7%)
2097-Jan-14 02:00:00 (3.8%)
2097-Jan-14 13:00:00 (4%)
2097-Jan-15 00:00:00 (4.1%)
2097-Jan-15 11:00:00 (4.2%)
2097-Jan-15 22:00:00 (4.3%)
2097-Jan-16 09:00:00 (4.5%)
2097-Jan-16 20:00:00 (4.6%)
2097-Jan-17 07:00:00 (4.7%)
2097-Jan-17 19:00:00 (4.9%)
2097-Jan-18 07:00:00 (5%)
2097-Jan-18 18:00:00 (5.1%)
2097-Jan-19 05:00:00 (5.2%)
2097-Jan-19 16:00:00 (5.4%)
2097-Jan-20 03:00:00 (5.5%)
2097-Jan-20 14:00:00 (5.6%)
2097-Jan-21 01:00:00 (5.7%)
2097-Jan-21 12:00:00 (5.9%)
2097-Jan-21 23:00:00 (6%)
2097-Jan-22 10:00:00 (6.1%)
2097-Jan-22 22:00:00 (6.3%)
2097-Jan-23 09:00:00 (6.4%)
2097-Jan-23 20:00:00 (6.5%)
2097-Jan-24 07:00:00 (6.6%)
2097-Jan-24 18:00:00 (6.8%)
