instance.yaml
kiva v0.2.0-0-g98c829f
Copyright (C) 2012-2014 Big Ladder Software
Web: www.bigladdersoftware.com

Starting Program: 2014-Jun-24 21:00:36.898357
Creating Domain...
Initializing Temperatures...
2096-Dec-30 23:00:00
Beginning Simulation...
2096-Dec-31 01:00:00 (0%)
2096-Dec-31 06:00:00 (0.1%)
2096-Dec-31 10:00:00 (0.1%)
2096-Dec-31 15:00:00 (0.2%)
2096-Dec-31 20:00:00 (0.2%)
2097-Jan-01 01:00:00 (0.3%)
2097-Jan-01 06:00:00 (0.3%)
2097-Jan-01 11:00:00 (0.4%)
2097-Jan-01 16:00:00 (0.5%)
2097-Jan-01 21:00:00 (0.5%)
2097-Jan-02 02:00:00 (0.6%)
2097-Jan-02 07:00:00 (0.6%)
2097-Jan-02 12:00:00 (0.7%)
2097-Jan-02 17:00:00 (0.7%)
2097-Jan-02 22:00:00 (0.8%)
2097-Jan-03 03:00:00 (0.9%)
2097-Jan-03 07:00:00 (0.9%)
2097-Jan-03 12:00:00 (1%)
2097-Jan-03 17:00:00 (1%)
2097-Jan-03 22:00:00 (1.1%)
2097-Jan-04 03:00:00 (1.1%)
2097-Jan-04 08:00:00 (1.2%)
2097-Jan-04 13:00:00 (1.2%)
2097-Jan-04 18:00:00 (1.3%)
2097-Jan-04 23:00:00 (1.4%)
2097-Jan-05 04:00:00 (1.4%)
2097-Jan-05 09:00:00 (1.5%)
2097-Jan-05 14:00:00 (1.5%)
2097-Jan-05 19:00:00 (1.6%)
2097-Jan-06 00:00:00 (1.6%)
2097-Jan-06 04:00:00 (1.7%)
2097-Jan-06 09:00:00 (1.7%)
2097-Jan-06 14:00:00 (1.8%)
2097-Jan-06 19:00:00 (1.9%)
2097-Jan-07 00:00:00 (1.9%)
2097-Jan-07 05:00:00 (2%)
2097-Jan-07 10:00:00 (2%)
2097-Jan-07 15:00:00 (2.1%)
2097-Jan-07 20:00:00 (2.1%)
2097-Jan-08 01:00:00 (2.2%)
2097-Jan-08 06:00:00 (2.3%)
2097-Jan-08 11:00:00 (2.3%)
2097-Jan-08 16:00:00 (2.4%)
2097-Jan-08 21:00:00 (2.4%)
2097-Jan-09 02:00:00 (2.5%)
2097-Jan-09 06:00:00 (2.5%)
2097-Jan-09 11:00:00 (2.6%)
2097-Jan-09 16:00:00 (2.6%)
2097-Jan-09 21:00:00 (2.7%)
2097-Jan-10 02:00:00 (2.8%)
2097-Jan-10 07:00:00 (2.8%)
2097-Jan-10 12:00:00 (2.9%)
2097-Jan-10 17:00:00 (2.9%)
2097-Jan-10 22:00:00 (3%)
2097-Jan-11 03:00:00 (3%)
2097-Jan-11 08:00:00 (3.1%)
2097-Jan-11 13:00:00 (3.2%)
2097-Jan-11 18:00:00 (3.2%)
2097-Jan-11 23:00:00 (3.3%)
2097-Jan-12 03:00:00 (3.3%)
2097-Jan-12 08:00:00 (3.4%)
2097-Jan-12 13:00:00 (3.4%)
2097-Jan-12 18:00:00 (3.5%)
2097-Jan-12 23:00:00 (3.5%)
2097-Jan-13 04:00:00 (3.6%)
2097-Jan-13 09:00:00 (3.7%)
2097-Jan-13 14:00:00 (3.7%)
2097-Jan-13 19:00:00 (3.8%)
2097-Jan-14 00:00:00 (3.8%)
2097-Jan-14 05:00:00 (3.9%)
2097-Jan-14 10:00:00 (3.9%)
2097-Jan-14 15:00:00 (4%)
2097-Jan-14 20:00:00 (4.1%)
2097-Jan-15 01:00:00 (4.1%)
2097-Jan-15 05:00:00 (4.2%)
2097-Jan-15 10:00:00 (4.2%)
2097-Jan-15 15:00:00 (4.3%)
2097-Jan-15 20:00:00 (4.3%)
2097-Jan-16 01:00:00 (4.4%)
2097-Jan-16 06:00:00 (4.4%)
2097-Jan-16 11:00:00 (4.5%)
2097-Jan-16 16:00:00 (4.6%)
2097-Jan-16 21:00:00 (4.6%)
2097-Jan-17 02:00:00 (4.7%)
2097-Jan-17 07:00:00 (4.7%)
2097-Jan-17 12:00:00 (4.8%)
2097-Jan-17 17:00:00 (4.8%)
2097-Jan-17 22:00:00 (4.9%)
2097-Jan-18 02:00:00 (4.9%)
2097-Jan-18 07:00:00 (5%)
2097-Jan-18 12:00:00 (5.1%)
2097-Jan-18 17:00:00 (5.1%)
2097-Jan-18 22:00:00 (5.2%)
2097-Jan-19 03:00:00 (5.2%)
2097-Jan-19 08:00:00 (5.3%)
2097-Jan-19 13:00:00 (5.3%)
2097-Jan-19 18:00:00 (5.4%)
2097-Jan-19 23:00:00 (5.5%)
2097-Jan-20 04:00:00 (5.5%)
2097-Jan-20 09:00:00 (5.6%)
2097-Jan-20 14:00:00 (5.6%)
2097-Jan-20 19:00:00 (5.7%)
2097-Jan-20 23:00:00 (5.7%)
2097-Jan-21 04:00:00 (5.8%)
2097-Jan-21 09:00:00 (5.8%)
2097-Jan-21 14:00:00 (5.9%)
2097-Jan-21 19:00:00 (6%)
2097-Jan-22 00:00:00 (6%)
2097-Jan-22 05:00:00 (6.1%)
2097-Jan-22 10:00:00 (6.1%)
2097-Jan-22 15:00:00 (6.2%)
2097-Jan-22 20:00:00 (6.2%)
2097-Jan-23 01:00:00 (6.3%)
2097-Jan-23 06:00:00 (6.4%)
2097-Jan-23 11:00:00 (6.4%)
