D,F,C,G,T
40,40,03,110,60
40,40,03,115,60
40,40,03,120,60
40,40,03,130,60
40,40,03,140,60
40,40,03,160,60
40,40,03,200,60
40,40,06,110,60
40,40,06,115,60
40,40,06,120,60
40,40,06,130,60
40,40,06,140,60
40,40,06,160,60
40,40,06,200,60
40,40,09,110,60
40,40,09,115,60
40,40,09,120,60
40,40,09,130,60
40,40,09,140,60
40,40,09,160,60
40,40,09,200,60
40,40,12,110,60
40,40,12,115,60
40,40,12,120,60
40,40,12,130,60
40,40,12,140,60
40,40,12,160,60
40,40,12,200,60
10,10,06,120,60
10,20,06,120,60
10,30,06,120,60
10,40,06,120,60
20,10,06,120,60
20,20,06,120,60
20,30,06,120,60
20,40,06,120,60
30,10,06,120,60
30,20,06,120,60
30,30,06,120,60
30,40,06,120,60
40,10,06,120,60
40,20,06,120,60
40,30,06,120,60
40,40,06,120,70
40,40,06,120,65
40,40,06,120,55
40,40,06,120,50
40,40,06,120,475
40,40,06,120,45
40,40,06,120,4375
40,40,06,120,425
40,40,06,120,4125
40,40,06,120,40
40,40,06,120,3875
40,40,06,120,375
40,40,06,120,3625
40,40,06,120,35
