instance.yaml
kiva v0.2.0-0-g98c829f
Copyright (C) 2012-2014 Big Ladder Software
Web: www.bigladdersoftware.com

Starting Program: 2014-Jun-24 18:22:33.450294
Creating Domain...
Initializing Temperatures...
Beginning Simulation...
2096-Dec-31 00:14:00 (0%)
2096-Dec-31 01:36:00 (0%)
2096-Dec-31 03:02:00 (0%)
2096-Dec-31 04:28:00 (0.1%)
2096-Dec-31 05:54:00 (0.1%)
2096-Dec-31 07:20:00 (0.1%)
2096-Dec-31 08:45:00 (0.1%)
2096-Dec-31 10:11:00 (0.1%)
2096-Dec-31 11:37:00 (0.1%)
2096-Dec-31 13:03:00 (0.1%)
2096-Dec-31 14:29:00 (0.2%)
2096-Dec-31 15:55:00 (0.2%)
2096-Dec-31 17:21:00 (0.2%)
2096-Dec-31 18:47:00 (0.2%)
2096-Dec-31 20:12:00 (0.2%)
2096-Dec-31 21:38:00 (0.2%)
2096-Dec-31 23:04:00 (0.3%)
2097-Jan-01 00:30:00 (0.3%)
2097-Jan-01 01:56:00 (0.3%)
2097-Jan-01 03:23:00 (0.3%)
2097-Jan-01 04:49:00 (0.3%)
2097-Jan-01 06:15:00 (0.3%)
2097-Jan-01 07:41:00 (0.4%)
2097-Jan-01 09:07:00 (0.4%)
2097-Jan-01 10:33:00 (0.4%)
2097-Jan-01 12:00:00 (0.4%)
2097-Jan-01 13:26:00 (0.4%)
2097-Jan-01 14:52:00 (0.4%)
2097-Jan-01 16:18:00 (0.5%)
2097-Jan-01 17:44:00 (0.5%)
2097-Jan-01 19:10:00 (0.5%)
2097-Jan-01 20:36:00 (0.5%)
2097-Jan-01 22:03:00 (0.5%)
2097-Jan-01 23:29:00 (0.5%)
2097-Jan-02 00:55:00 (0.6%)
2097-Jan-02 02:21:00 (0.6%)
2097-Jan-02 03:47:00 (0.6%)
2097-Jan-02 05:13:00 (0.6%)
2097-Jan-02 06:39:00 (0.6%)
2097-Jan-02 08:06:00 (0.6%)
2097-Jan-02 09:32:00 (0.7%)
2097-Jan-02 10:58:00 (0.7%)
2097-Jan-02 12:24:00 (0.7%)
2097-Jan-02 13:50:00 (0.7%)
2097-Jan-02 15:16:00 (0.7%)
2097-Jan-02 16:42:00 (0.7%)
2097-Jan-02 18:09:00 (0.8%)
2097-Jan-02 19:35:00 (0.8%)
2097-Jan-02 21:01:00 (0.8%)
2097-Jan-02 22:27:00 (0.8%)
2097-Jan-02 23:53:00 (0.8%)
2097-Jan-03 01:19:00 (0.8%)
2097-Jan-03 02:45:00 (0.9%)
2097-Jan-03 04:12:00 (0.9%)
2097-Jan-03 05:38:00 (0.9%)
2097-Jan-03 07:04:00 (0.9%)
2097-Jan-03 08:30:00 (0.9%)
2097-Jan-03 09:56:00 (0.9%)
2097-Jan-03 11:22:00 (0.9%)
2097-Jan-03 12:48:00 (1%)
2097-Jan-03 14:15:00 (1%)
2097-Jan-03 15:41:00 (1%)
2097-Jan-03 17:07:00 (1%)
2097-Jan-03 18:33:00 (1%)
2097-Jan-03 19:59:00 (1%)
2097-Jan-03 21:25:00 (1.1%)
2097-Jan-03 22:51:00 (1.1%)
2097-Jan-04 00:18:00 (1.1%)
2097-Jan-04 01:44:00 (1.1%)
2097-Jan-04 03:10:00 (1.1%)
2097-Jan-04 04:36:00 (1.1%)
2097-Jan-04 06:02:00 (1.2%)
2097-Jan-04 07:28:00 (1.2%)
2097-Jan-04 08:54:00 (1.2%)
2097-Jan-04 10:21:00 (1.2%)
2097-Jan-04 11:47:00 (1.2%)
2097-Jan-04 13:13:00 (1.2%)
2097-Jan-04 14:39:00 (1.3%)
2097-Jan-04 16:05:00 (1.3%)
2097-Jan-04 17:31:00 (1.3%)
2097-Jan-04 18:58:00 (1.3%)
2097-Jan-04 20:24:00 (1.3%)
2097-Jan-04 21:50:00 (1.3%)
2097-Jan-04 23:16:00 (1.4%)
2097-Jan-05 00:42:00 (1.4%)
2097-Jan-05 02:08:00 (1.4%)
2097-Jan-05 03:34:00 (1.4%)
2097-Jan-05 05:00:00 (1.4%)
2097-Jan-05 06:27:00 (1.4%)
2097-Jan-05 07:53:00 (1.5%)
2097-Jan-05 09:19:00 (1.5%)
2097-Jan-05 10:45:00 (1.5%)
2097-Jan-05 12:11:00 (1.5%)
2097-Jan-05 13:37:00 (1.5%)
2097-Jan-05 15:04:00 (1.5%)
2097-Jan-05 16:30:00 (1.6%)
2097-Jan-05 17:56:00 (1.6%)
2097-Jan-05 19:22:00 (1.6%)
2097-Jan-05 20:48:00 (1.6%)
2097-Jan-05 22:14:00 (1.6%)
2097-Jan-05 23:40:00 (1.6%)
2097-Jan-06 01:06:00 (1.7%)
2097-Jan-06 02:33:00 (1.7%)
2097-Jan-06 03:59:00 (1.7%)
2097-Jan-06 05:25:00 (1.7%)
2097-Jan-06 06:51:00 (1.7%)
2097-Jan-06 08:17:00 (1.7%)
2097-Jan-06 09:43:00 (1.7%)
2097-Jan-06 11:10:00 (1.8%)
2097-Jan-06 12:36:00 (1.8%)
2097-Jan-06 14:02:00 (1.8%)
2097-Jan-06 15:28:00 (1.8%)
2097-Jan-06 16:54:00 (1.8%)
2097-Jan-06 18:20:00 (1.8%)
2097-Jan-06 19:46:00 (1.9%)
2097-Jan-06 21:13:00 (1.9%)
2097-Jan-06 22:39:00 (1.9%)
2097-Jan-07 00:05:00 (1.9%)
2097-Jan-07 01:31:00 (1.9%)
2097-Jan-07 02:57:00 (1.9%)
2097-Jan-07 04:23:00 (2%)
2097-Jan-07 05:49:00 (2%)
2097-Jan-07 07:16:00 (2%)
2097-Jan-07 08:42:00 (2%)
2097-Jan-07 10:08:00 (2%)
2097-Jan-07 11:34:00 (2%)
2097-Jan-07 13:00:00 (2.1%)
2097-Jan-07 14:26:00 (2.1%)
2097-Jan-07 15:52:00 (2.1%)
2097-Jan-07 17:19:00 (2.1%)
2097-Jan-07 18:45:00 (2.1%)
2097-Jan-07 20:11:00 (2.1%)
2097-Jan-07 21:37:00 (2.2%)
2097-Jan-07 23:03:00 (2.2%)
2097-Jan-08 00:29:00 (2.2%)
2097-Jan-08 01:55:00 (2.2%)
2097-Jan-08 03:22:00 (2.2%)
2097-Jan-08 04:48:00 (2.2%)
2097-Jan-08 06:14:00 (2.3%)
2097-Jan-08 07:40:00 (2.3%)
2097-Jan-08 09:06:00 (2.3%)
2097-Jan-08 10:32:00 (2.3%)
2097-Jan-08 11:58:00 (2.3%)
2097-Jan-08 13:25:00 (2.3%)
2097-Jan-08 14:51:00 (2.4%)
2097-Jan-08 16:17:00 (2.4%)
2097-Jan-08 17:43:00 (2.4%)
2097-Jan-08 19:09:00 (2.4%)
2097-Jan-08 20:35:00 (2.4%)
2097-Jan-08 22:01:00 (2.4%)
2097-Jan-08 23:28:00 (2.5%)
2097-Jan-09 00:54:00 (2.5%)
2097-Jan-09 02:20:00 (2.5%)
2097-Jan-09 03:46:00 (2.5%)
2097-Jan-09 05:12:00 (2.5%)
2097-Jan-09 06:38:00 (2.5%)
2097-Jan-09 08:04:00 (2.6%)
2097-Jan-09 09:31:00 (2.6%)
2097-Jan-09 10:57:00 (2.6%)
2097-Jan-09 12:23:00 (2.6%)
2097-Jan-09 13:49:00 (2.6%)
2097-Jan-09 15:15:00 (2.6%)
2097-Jan-09 16:41:00 (2.6%)
2097-Jan-09 18:07:00 (2.7%)
2097-Jan-09 19:34:00 (2.7%)
2097-Jan-09 21:00:00 (2.7%)
2097-Jan-09 22:26:00 (2.7%)
2097-Jan-09 23:52:00 (2.7%)
2097-Jan-10 01:18:00 (2.7%)
2097-Jan-10 02:44:00 (2.8%)
2097-Jan-10 04:11:00 (2.8%)
2097-Jan-10 05:37:00 (2.8%)
2097-Jan-10 07:03:00 (2.8%)
2097-Jan-10 08:29:00 (2.8%)
2097-Jan-10 09:55:00 (2.8%)
2097-Jan-10 11:21:00 (2.9%)
2097-Jan-10 12:47:00 (2.9%)
2097-Jan-10 14:14:00 (2.9%)
2097-Jan-10 15:40:00 (2.9%)
2097-Jan-10 17:06:00 (2.9%)
2097-Jan-10 18:32:00 (2.9%)
2097-Jan-10 19:58:00 (3%)
2097-Jan-10 21:24:00 (3%)
2097-Jan-10 22:50:00 (3%)
2097-Jan-11 00:17:00 (3%)
2097-Jan-11 01:43:00 (3%)
2097-Jan-11 03:09:00 (3%)
2097-Jan-11 04:35:00 (3.1%)
2097-Jan-11 06:01:00 (3.1%)
2097-Jan-11 07:27:00 (3.1%)
2097-Jan-11 08:53:00 (3.1%)
2097-Jan-11 10:19:00 (3.1%)
2097-Jan-11 11:46:00 (3.1%)
2097-Jan-11 13:12:00 (3.2%)
2097-Jan-11 14:38:00 (3.2%)
2097-Jan-11 16:04:00 (3.2%)
2097-Jan-11 17:30:00 (3.2%)
2097-Jan-11 18:56:00 (3.2%)
2097-Jan-11 20:23:00 (3.2%)
2097-Jan-11 21:49:00 (3.3%)
2097-Jan-11 23:15:00 (3.3%)
2097-Jan-12 00:41:00 (3.3%)
2097-Jan-12 02:07:00 (3.3%)
2097-Jan-12 03:33:00 (3.3%)
2097-Jan-12 04:59:00 (3.3%)
2097-Jan-12 06:26:00 (3.4%)
2097-Jan-12 07:52:00 (3.4%)
2097-Jan-12 09:18:00 (3.4%)
2097-Jan-12 10:44:00 (3.4%)
2097-Jan-12 12:10:00 (3.4%)
2097-Jan-12 13:36:00 (3.4%)
2097-Jan-12 15:02:00 (3.4%)
2097-Jan-12 16:29:00 (3.5%)
2097-Jan-12 17:55:00 (3.5%)
2097-Jan-12 19:21:00 (3.5%)
2097-Jan-12 20:47:00 (3.5%)
2097-Jan-12 22:13:00 (3.5%)
2097-Jan-12 23:39:00 (3.5%)
2097-Jan-13 01:05:00 (3.6%)
2097-Jan-13 02:32:00 (3.6%)
2097-Jan-13 03:58:00 (3.6%)
2097-Jan-13 05:24:00 (3.6%)
2097-Jan-13 06:50:00 (3.6%)
2097-Jan-13 08:16:00 (3.6%)
2097-Jan-13 09:42:00 (3.7%)
2097-Jan-13 11:08:00 (3.7%)
2097-Jan-13 12:35:00 (3.7%)
2097-Jan-13 14:01:00 (3.7%)
2097-Jan-13 15:27:00 (3.7%)
2097-Jan-13 16:53:00 (3.7%)
2097-Jan-13 18:19:00 (3.8%)
2097-Jan-13 19:45:00 (3.8%)
2097-Jan-13 21:11:00 (3.8%)
2097-Jan-13 22:38:00 (3.8%)
2097-Jan-14 00:04:00 (3.8%)
