Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 11718.387088131656, 0.77268824587774609, 1535.1938105073418, 1.2316048541117963, 10183.193277624314, 0.73159124704739742
2100-Jan-01 01:00:00, 11743.360361668892, 0.77433493622669836, 1562.8946277208779, 1.2538277556826281, 10180.465733948015, 0.73139529210231113
2100-Jan-01 02:00:00, 11771.16005041901, 0.77616799504057132, 1593.6611057695261, 1.27851007491118, 10177.498944649484, 0.73118214903181589
2100-Jan-01 03:00:00, 11801.791801493768, 0.77818779467921706, 1627.5006381754401, 1.3056577432295038, 10174.291163318327, 0.73095169236853397
2100-Jan-01 04:00:00, 11834.374978760623, 0.78033626766428754, 1663.5220899953874, 1.3345558501720665, 10170.852888765236, 0.73070467637861702
2100-Jan-01 05:00:00, 11868.537602210814, 0.78258888633866508, 1701.3325387815878, 1.3648891748262613, 10167.205063429226, 0.73044260562990149
2100-Jan-01 06:00:00, 11903.49900620002, 0.78489417508861625, 1740.1218465243232, 1.3960077862853588, 10163.377159675696, 0.73016759750580196
2100-Jan-01 07:00:00, 11937.892550135512, 0.78716202022235049, 1778.4872253695573, 1.4267863019960318, 10159.405324765954, 0.72988224893434062
2100-Jan-01 08:00:00, 11967.674293671525, 0.78912577197410227, 1812.3436297120502, 1.4539475057773354, 10155.330663959476, 0.72958951304104702
2100-Jan-01 09:00:00, 11986.200656151173, 0.79034736522061588, 1835.0030114529657, 1.4721259301249825, 10151.197644698208, 0.72929258450075651
2100-Jan-01 10:00:00, 11987.746439912464, 0.79044929127358166, 1840.6939592544779, 1.4766914767607673, 10147.052480657985, 0.72899478344300117
2100-Jan-01 11:00:00, 11967.962341031314, 0.78914476527134458, 1825.0211297383614, 1.4641179940007394, 10142.941211292953, 0.72869941748070322
2100-Jan-01 12:00:00, 11927.50603415094, 0.786477153034013, 1788.5988263162908, 1.4348983050041231, 10138.907207834649, 0.72840960253364351
2100-Jan-01 13:00:00, 11870.743976276566, 0.78273437046491845, 1735.7559080551785, 1.3925052246058174, 10134.988068221388, 0.72812803975084539
2100-Jan-01 14:00:00, 11804.263009849883, 0.77835074147688843, 1673.0508000632474, 1.3422002306357435, 10131.212209786636, 0.72785677071905508
2100-Jan-01 15:00:00, 11736.678289025404, 0.77389433301476362, 1609.0825189909092, 1.290881859666124, 10127.595770034493, 0.72759695480512609
2100-Jan-01 16:00:00, 11676.551448438606, 0.76992968304768428, 1552.4109610208561, 1.2454172639855765, 10124.14048741775, 0.7273487169047379
2100-Jan-01 17:00:00, 11631.130250926171, 0.76693469532730985, 1510.2971546126107, 1.2116315829578639, 10120.833096313561, 0.72711110397562817
2100-Jan-01 18:00:00, 11603.930919824059, 0.76514122295945941, 1486.284403283149, 1.1923674217193745, 10117.64651654091, 0.72688217049610637
2100-Jan-01 19:00:00, 11594.26782622774, 0.76450405687298884, 1479.7250470368226, 1.1871051968865669, 10114.542779190919, 0.72665918866550738
2100-Jan-01 20:00:00, 11598.12639846483, 0.76475848381682043, 1486.649118823558, 1.1926600137210248, 10111.477279641273, 0.72643895395354563
2100-Jan-01 21:00:00, 11610.91492125745, 0.76560173478384175, 1502.5112585505501, 1.2053853700575692, 10108.4036627069, 0.72621813606423924
2100-Jan-01 22:00:00, 11628.747556501163, 0.76677758497057924, 1523.4690316009687, 1.2221986836884642, 10105.278524900194, 0.72599361676043428
2100-Jan-01 23:00:00, 11649.403848086451, 0.76813962170749006, 1547.3386105751683, 1.2413479853134584, 10102.065237511282, 0.72576276452539512
2100-Jan-02 00:00:00, 11672.688012928023, 0.76967493542881127, 1573.9515147428533, 1.2626981117473977, 10098.73649818517, 0.72552361787578401
2100-Jan-02 01:00:00, 11699.026160496795, 0.77141162298585531, 1603.7505898441873, 1.2866043347217571, 10095.275570652608, 0.72527497442765743
2100-Jan-02 02:00:00, 11728.095566507702, 0.77332840455061724, 1636.419112534762, 1.3128125638371915, 10091.676453972939, 0.7250164030553814
2100-Jan-02 03:00:00, 11759.013987269693, 0.77536710664538666, 1671.0706497076271, 1.340611660662909, 10087.943337562067, 0.72474820473920054
2100-Jan-02 04:00:00, 11791.338069393463, 0.77749849538753879, 1707.2484275586139, 1.3696351797178281, 10084.089641834849, 0.72447134364210131
2100-Jan-02 05:00:00, 11824.205246849589, 0.77966569480709447, 1744.0684134343755, 1.3991739083282109, 10080.136833415214, 0.72418736199094136
2100-Jan-02 06:00:00, 11857.472398356384, 0.78185926775786063, 1781.359267158505, 1.4290903893264197, 10076.113131197879, 0.72389828711602999
2100-Jan-02 07:00:00, 11890.591702880141, 0.7840430919586393, 1818.5395253645158, 1.4589181453857802, 10072.052177515625, 0.72360653598378644
2100-Jan-02 08:00:00, 11919.762995728282, 0.78596659174843919, 1851.7712654696859, 1.4855782140650458, 10067.991730258596, 0.72331482123465496
2100-Jan-02 09:00:00, 11938.999945090804, 0.78723503974791009, 1875.0275532081571, 1.5042355045460802, 10063.972391882646, 0.7230260598712398
2100-Jan-02 10:00:00, 11943.021641654868, 0.78750022280084808, 1882.9853915040771, 1.5106196576128861, 10060.036250150792, 0.72274327560508134
2100-Jan-02 11:00:00, 11926.741450053833, 0.78642673780703876, 1870.5162870381073, 1.5006163541331512, 10056.225163015726, 0.72246947563745478
2100-Jan-02 12:00:00, 11891.152408541458, 0.7840800638277744, 1838.5739474490363, 1.4749907033388803, 10052.578461092422, 0.72220748559808834
2100-Jan-02 13:00:00, 11839.925052348051, 0.78070222900286679, 1790.7950204638519, 1.4366601954926042, 10049.130031884199, 0.72195974006719066
2100-Jan-02 14:00:00, 11773.851806302033, 0.77634548432437311, 1727.9467315139684, 1.3862403350075512, 10045.905074788065, 0.72172804944526958
2100-Jan-02 15:00:00, 11698.816207161712, 0.77139777906066476, 1655.8991217287294, 1.3284403456307514, 10042.917085432982, 0.72151338329891923
2100-Jan-02 16:00:00, 11627.591390724792, 0.76670134958946679, 1587.4258882840365, 1.2735078894743888, 10040.165502440756, 0.72131570129704059
2100-Jan-02 17:00:00, 11571.823737975401, 0.76302413621056342, 1534.1893680514174, 1.2307990430175062, 10037.634369923984, 0.72113385712067057
2100-Jan-02 18:00:00, 11536.663567784146, 0.76070574119378165, 1501.3709772728328, 1.2044705826560844, 10035.292590511313, 0.7209656166410765
2100-Jan-02 19:00:00, 11522.22955375395, 0.75975398965168917, 1489.1333263872918, 1.1946529621508422, 10033.096227366659, 0.72080782330374515
2100-Jan-02 20:00:00, 11525.06824538846, 0.75994116760059638, 1494.0755444525835, 1.1986178424920941, 10030.992700935876, 0.72065669963529089
2100-Jan-02 21:00:00, 11540.525936454751, 0.76096041846724749, 1511.5997977806944, 1.2126766247226279, 10028.926138674056, 0.72050823158396282
2100-Jan-02 22:00:00, 11564.01772778502, 0.76250942268591648, 1537.1748278212992, 1.2331941195994831, 10026.84289996372, 0.72035856544639265
2100-Jan-02 23:00:00, 11590.600767640955, 0.76426225797646463, 1565.9043753393757, 1.2562423171218566, 10024.696392301579, 0.72020435387694393
2100-Jan-03 00:00:00, 11617.70087217019, 0.76604918753206919, 1595.2502830509686, 1.2797849878508185, 10022.45058911922, 0.7200430086185351
2100-Jan-03 01:00:00, 11644.843012162126, 0.76783888882645457, 1624.7610091729971, 1.3034598836792759, 10020.082002989129, 0.7198728422636983
2100-Jan-03 02:00:00, 11672.630244994674, 0.76967112632071888, 1655.0500705915101, 1.3277591967785145, 10017.580174403163, 0.719693103369895
2100-Jan-03 03:00:00, 11701.18894798881, 0.77155423309600468, 1686.2419780956411, 1.3527828155738497, 10014.94696989317, 0.71950392603438962
2100-Jan-03 04:00:00, 11729.997459178265, 0.7734538117504659, 1717.8023675679881, 1.3781020479767969, 10012.195091610276, 0.71930622281794088
2100-Jan-03 05:00:00, 11758.52512703801, 0.7753348721277814, 1749.1789467011292, 1.4032738190595822, 10009.346180336881, 0.71910154845947516
2100-Jan-03 06:00:00, 11785.677610864272, 0.77712525547500733, 1779.2488114083737, 1.4273972822226393, 10006.428799455898, 0.71889195503837022
2100-Jan-03 07:00:00, 11812.029148322054, 0.77886282593596756, 1808.5526620623891, 1.450906212797161, 10003.476486259664, 0.7186798519746237
2100-Jan-03 08:00:00, 11836.165077547033, 0.78045430338719179, 1835.6390971759893, 1.4726362280813352, 10000.525980371043, 0.71846787875329432
2100-Jan-03 09:00:00, 11853.84511972875, 0.78162009187648585, 1856.2294435572614, 1.489154774715286, 9997.6156761714883, 0.71825879374227741
2100-Jan-03 10:00:00, 11859.863710812533, 0.78201694637123909, 1865.0794699662429, 1.4962546831501153, 9994.7842408462893, 0.71805537490851656
2100-Jan-03 11:00:00, 11850.500790329674, 0.78139957313123742, 1858.4315992024081, 1.4909214477981951, 9992.0691911272661, 0.71786031756691615
2100-Jan-03 12:00:00, 11824.013066546728, 0.77965302280198023, 1834.5078964224742, 1.4717287255044822, 9989.5051701242537, 0.71767611058273062
2100-Jan-03 13:00:00, 11781.064696398278, 0.77682108863358912, 1793.9428912590135, 1.4391855658562045, 9987.1218051392643, 0.71750488247048727
2100-Jan-03 14:00:00, 11724.846066456035, 0.77311413867289724, 1739.9048124091969, 1.395833671285762, 9984.9412540468384, 0.71734822511856755
2100-Jan-03 15:00:00, 11661.421770711928, 0.76893206075927545, 1678.4460395006643, 1.3465285460801772, 9982.9757312112633, 0.71720701604365611
2100-Jan-03 16:00:00, 11598.897932787815, 0.76480935732852284, 1617.6725133679329, 1.2977731581452647, 9981.2254194198813, 0.71708126837774533
2100-Jan-03 17:00:00, 11546.497877873606, 0.76135419697146622, 1566.8206445399023, 1.2569773914735887, 9979.677233333703, 0.71697004203070769
2100-Jan-03 18:00:00, 11510.65698254712, 0.75899091622879822, 1532.3521015967081, 1.229325101246487, 9978.3048809504107, 0.71687144810598202
2100-Jan-03 19:00:00, 11492.71669479857, 0.75780796763982317, 1515.6461682482807, 1.2159228138847422, 9977.0705265502893, 0.71678276837161348
2100-Jan-03 20:00:00, 11489.957961883509, 0.75762606201740668, 1514.0299295609666, 1.2146261910094576, 9975.928032322543, 0.71670068814844246
2100-Jan-03 21:00:00, 11497.433218920498, 0.75811896630568076, 1522.6059024861352, 1.2215062408188548, 9974.8273164343627, 0.7166216094068999
2100-Jan-03 22:00:00, 11512.754473169727, 0.7591292207870739, 1539.0354125558481, 1.2346867683939693, 9973.7190606138793, 0.71654198897393251
2100-Jan-03 23:00:00, 11534.854618217587, 0.76058646248614437, 1562.2956268689309, 1.2533472089582824, 9972.5589913486565, 0.71645864610718457
